"przedmiot;ocena;ects;semestr"
"Elementy Prawa;5;4;1"
"Filozofia;4;2;1"
"Logika;3,5;4;1"
"Matematyka I;3,5;5;1"
"Mikroekonomia;4,5;5;1"
"Podstawy Statystyki;3,5;5;1"
"Podstawy Zarządzania;4;5;1"
"Informatyka Biznesowa;4,5;4;2"
"Angielski I;5;2;2"
"Makroekonomia;4,5;5;2"
"Matematyka II;3,5;5;2"
"Matematyka Finansowa i Ubezpieczeniowa;5;4;2"
"Podstawy Marketingu;3,5;4;2"
"Rachunkowość Finansowa;4;4;2"
"Socjologia;4,5;2;2"
"Analiza Finansowa;4,5;4;3"
"Badania Marketingowe;4,5;6;3"
"Bazy Danych;4,5;4;3"
"Finanse Organizacji Gospodarczych;4;3;3"
"Angielski II;5;2;3"
"Podstawy Prognozowania Gospodarczego;5;5;3"
"Statystyka Matematyczna;4,5;6;3"
"WF I;5;0;3"
"Ekonometria;5;5;4"
"Systemy Informatyczne Przedsiębiorstw;4;5;4"
"Zarządzanie Finansami;5;4;4"
"Angielski III;5;2;4"
"Zarządzanie Ryzykiem;5;4;4"
"Rynki Finansowe;5;4;4"
"Metody Ilościowe w Ekonomii Międzynarodowej;4;2;4"
"WF II;5;0;4"
"Praktyka;ZAL;4;4"
"Business Inteligence;;3;5"
"Współczesna Bankowość;;3;5"
"Seminarium Dyplomowe I;;2;5"
"Badania Operacyjne;;4;5"
"Angielski IV;;2;5"
"Analiza Techniczna;;5;5"
"Rachunkowość Podatkowa;;5;5"
"Księgowość Komputerowa;;4;5"
"Rynek Pracy;;2;5"
"Etyka;;1;6"
"Ergonomia Pracy Umysłowej;;4;6"
"Seminarium Dyplomowe II;;2;6"
"Praca Dyplomowa;;8;6"
"Projekty w Przedsiębiorstwie;;3;6"
"Systemy Ekspertowe w Biznesie;;3;6"
"Elementy Prawa Podatkowego;;3;6"
"Throughput Accounting;;6;6"
